Date	TYPE			PIN
1/13/2024 18:00:00	Out			Eagle
1/11/2024 20:04:41	Out			phoenix
1/20/2024 9:02:17	in			phoenix
1/18/2024 18:05:30	in			J.T.M.
1/8/2024 17:49:11	In			Ghost
1/8/2024 17:50:01	In			1116
1/8/2024 17:50:20	In			Auditore
1/8/2024 17:53:49	In			Acrux
1/8/2024 17:54:53	In			Fire3xit
1/8/2024 17:55:48	In			C8H10N4O2
1/8/2024 17:58:38	In			phoenix
1/8/2024 17:58:46	In			Eagle
1/8/2024 17:59:08	In			0305009
1/8/2024 17:59:09	In			Cade55
1/8/2024 17:59:18	In			0120
1/8/2024 18:00:08	In			AdidaBoss
1/8/2024 18:01:49	In			YoungFlake
1/8/2024 18:02:06	In			fonderpole
1/8/2024 18:03:12	In			0016
1/8/2024 18:03:51	In			2314033333
1/8/2024 18:06:08	In			J.T.M.
1/8/2024 18:08:14	In			JeffBagels
1/8/2024 18:09:20	In			BigTurtle
1/8/2024 18:10:55	In			S0134
1/8/2024 18:34:11	In			10Pulisic
1/8/2024 19:02:26	In			s4dr4
1/8/2024 19:55:55	Out			Cade55
1/8/2024 20:00:18	Out			phoenix
1/8/2024 20:01:12	Out			Acrux
1/8/2024 20:02:19	Out			BigTurtle
1/8/2024 20:03:14	Out			AdidaBoss
1/8/2024 20:03:26	Out			J.T.M.
1/8/2024 20:03:35	Out			C8H10N4O2
1/8/2024 20:03:46	Out			YoungFlake
1/8/2024 20:04:32	Out			Fire3xit
1/8/2024 20:04:43	Out			1116
1/8/2024 20:04:49	Out			S0134
1/8/2024 20:04:50	Out			0305009
1/8/2024 20:04:54	Out			2314033333
1/8/2024 20:04:55	Out			JeffBagels
1/8/2024 20:04:58	Out			Eagle
1/8/2024 20:05:04	Out			0016
1/8/2024 20:05:14	Out			0120
1/8/2024 20:05:18	Out			s4dr4
1/8/2024 20:05:31	Out			fonderpole
1/8/2024 20:06:27	Out			10Pulisic
1/8/2024 20:06:46	Out			Auditore
1/8/2024 20:11:20	Out			Ghost
1/8/2024 22:37:41	Out			Prani2K
1/10/2024 17:44:22	In			Ghost
1/10/2024 17:50:34	In			10Pulisic
1/10/2024 17:51:16	In			Cade55
1/10/2024 18:00:13	In			Prani2K
1/10/2024 18:02:35	In			Eagle
1/10/2024 18:03:40	In			0016
1/10/2024 18:12:07	In			BigTurtle
1/10/2024 18:14:02	In			phoenix
1/10/2024 18:14:04	In			fonderpole
1/10/2024 18:14:09	In			2314033333
1/10/2024 18:14:41	In			s4dr4
1/10/2024 18:33:10	In			1116
1/10/2024 18:33:44	In			Auditore
1/10/2024 19:03:36	In			J.T.M.
1/10/2024 20:01:40	Out			Eagle
1/10/2024 20:02:03	Out			Cade55
1/10/2024 20:02:05	Out			1116
1/10/2024 20:02:13	Out			BigTurtle
1/10/2024 20:02:37	Out			10Pulisic
1/10/2024 20:03:14	Out			phoenix
1/10/2024 20:03:21	Out			J.T.M.
1/10/2024 20:03:22	Out			0016
1/10/2024 20:03:33	Out			s4dr4
1/10/2024 20:04:22	Out			Auditore
1/10/2024 20:13:34	Out			Ghost
1/11/2024 17:30:52	In			Ghost
1/11/2024 17:43:33	In			JeffBagels
1/11/2024 18:00:12	In			Auditore
1/11/2024 18:00:36	In			10Pulisic
1/11/2024 18:01:09	In			1116
1/11/2024 18:02:19	In			Eagle
1/11/2024 18:03:36	In			AdidaBoss
1/11/2024 18:03:58	In			0016
1/11/2024 18:06:36	In			phoenix
1/11/2024 18:07:49	In			Fire3xit
1/11/2024 18:08:12	In			BigTurtle
1/11/2024 18:27:54	In			s4dr4
1/11/2024 18:49:39	Out			Eagle
1/11/2024 18:59:21	Out			1116
1/11/2024 20:04:41	Out			Auditore
1/11/2024 20:05:18	Out			10Pulisic
1/11/2024 20:05:32	Out			0016
1/11/2024 20:05:33	Out			AdidaBoss
1/11/2024 20:05:46	Out			BigTurtle
1/11/2024 20:06:24	Out			Acrux
1/11/2024 20:06:24	Out			JeffBagels
1/11/2024 20:06:41	Out			s4dr4
1/11/2024 20:07:41	Out			Fire3xit
1/11/2024 20:14:53	Out			Ghost
1/13/2024 9:02:25	In			Fire3xit
1/13/2024 9:08:23	In			Auditore
1/13/2024 9:16:35	In			2314033333
1/13/2024 9:16:42	In			fonderpole
